#{"t_start": 1653931897.1298795, "env_id": "HalfCheetah-v2"}
r,l,t
28.291916,1000,0.921892
-551.819587,1000,10.748193
-551.286235,1000,18.865706
-570.355236,1000,28.600947
-549.669632,1000,38.372326
-554.141354,1000,48.340537
-658.743966,1000,58.927056
-556.552112,1000,68.990087
-555.149212,1000,80.08689
-556.089695,1000,91.599496
-1031.390849,1000,104.92445
-563.506789,1000,118.042073
-501.538706,1000,131.391298
-303.696679,1000,143.717701
31.013906,1000,155.555756
-450.009173,1000,167.78666
-524.642871,1000,179.865392
-360.587085,1000,192.173684
-580.100815,1000,203.78995
-363.046329,1000,216.0628
-500.940431,1000,227.819446
-475.122869,1000,240.116311
-290.657177,1000,252.301986
590.510589,1000,265.630208
519.01324,1000,278.90017
1079.029463,1000,290.775277
153.020849,1000,302.652809
864.356697,1000,315.003157
1300.975815,1000,327.285075
-61.910533,1000,340.261724
1449.915206,1000,352.881694
-290.660349,1000,365.025382
-271.630338,1000,377.51938
1214.109702,1000,389.696623
1784.917007,1000,401.626478
1252.037196,1000,413.806032
-157.800209,1000,426.039613
2063.638939,1000,438.472409
2284.521322,1000,450.357652
2214.057594,1000,464.808374
2536.425483,1000,478.202626
1683.670585,1000,492.441286
2279.712642,1000,507.414325
2481.470579,1000,522.090082
2762.096572,1000,537.038149
2493.714897,1000,551.895705
2700.330351,1000,566.437296
2743.900921,1000,581.216648
2464.800744,1000,596.376656
2614.669392,1000,611.340516
