#{"t_start": 1653930631.4645493, "env_id": "Reacher-v2"}
r,l,t
-44.211255,50,0.24108
-39.764362,50,0.258518
-15.647816,50,0.294461
-97.681483,50,1.165976
-101.993294,50,2.012621
-102.287524,50,2.922619
-99.625032,50,3.769362
-98.458002,50,4.559845
-96.633774,50,5.226375
-103.124997,50,5.983281
-98.772431,50,6.694533
-95.05638,50,7.39822
-99.765706,50,8.062902
-100.058401,50,8.701481
-103.432608,50,9.338586
-102.237795,50,9.98687
-101.344937,50,10.690225
-101.148986,50,11.448172
-98.483487,50,12.467203
-98.944227,50,13.270821
-96.915095,50,14.254642
-98.231155,50,15.2016
-97.071097,50,16.150771
-102.937163,50,16.950633
-99.22877,50,17.683152
-100.186976,50,18.408726
-100.405933,50,19.153054
-13.579381,50,19.904249
-11.31832,50,20.645642
-4.828379,50,21.407647
-9.053292,50,22.314111
-11.888027,50,23.072215
-9.843581,50,23.829654
-11.462958,50,24.584727
-11.959695,50,25.339254
-12.022437,50,26.087448
-12.409004,50,26.840231
-4.970881,50,27.585394
-8.422481,50,28.333041
-11.251789,50,29.081406
-7.81994,50,29.96152
-6.186177,50,30.897119
-14.0279,50,31.816587
-13.522401,50,32.646566
-10.469347,50,33.393249
-9.014461,50,34.187118
-12.174479,50,34.978468
-8.556484,50,35.728627
-15.057897,50,36.471297
-4.981698,50,37.214115
-16.879066,50,37.95359
-10.969928,50,38.692934
-11.819804,50,39.442208
-8.49048,50,40.247132
-15.607643,50,41.088552
-15.524101,50,41.858508
-11.939751,50,42.616005
-10.584325,50,43.371649
-16.331937,50,44.127307
-18.017628,50,44.889019
-12.339807,50,45.801431
-13.654575,50,46.790175
-17.729214,50,47.726822
-15.799955,50,48.603665
-11.586659,50,49.433284
-16.215743,50,50.191514
-15.637342,50,50.950938
-16.962723,50,51.705842
-13.825234,50,52.465699
-8.9356,50,53.219503
-13.536672,50,53.971696
-12.138738,50,54.724946
-8.186377,50,55.482449
-8.013585,50,56.241375
-16.887834,50,57.006557
-14.253949,50,57.767302
-16.100737,50,58.523487
-12.774355,50,59.277721
-7.784895,50,60.031754
-12.243101,50,60.794937
-12.791904,50,61.708395
-9.897272,50,62.67868
-14.472819,50,63.61527
-9.06858,50,64.444074
-8.410073,50,65.196699
-14.399864,50,65.948259
-8.145133,50,66.698519
-15.72765,50,67.455342
-9.647106,50,68.210867
-12.279065,50,68.96306
-12.063281,50,69.708568
-13.399475,50,70.46397
-5.645142,50,71.213851
-12.663312,50,71.97339
-5.384521,50,72.722961
-12.99329,50,73.479625
-14.809853,50,74.231801
-7.255307,50,75.036419
-14.081649,50,75.871793
-11.908983,50,76.791702
-4.205167,50,77.876501
-7.074215,50,78.868707
-11.936262,50,79.939185
-12.767828,50,80.789804
-6.192072,50,81.568575
-8.065322,50,82.363153
-6.222234,50,83.387538
-9.73208,50,84.139664
-4.482422,50,84.891782
-9.714374,50,85.641115
-16.756547,50,86.393004
-11.744688,50,87.149721
-8.958916,50,87.923344
-4.414603,50,88.694925
-10.464917,50,89.527927
-8.615968,50,90.413045
-12.614392,50,91.353447
-4.94282,50,92.219611
-9.976179,50,93.144926
-11.176954,50,94.004303
-5.972897,50,95.065726
-9.641012,50,96.357807
-14.67849,50,97.338852
-8.747697,50,98.213811
-8.989254,50,99.012596
-8.496915,50,99.802432
-5.77316,50,100.598266
-9.627917,50,101.398126
-3.844445,50,102.206485
-11.026362,50,103.002697
-9.551762,50,103.796777
-9.811223,50,104.588449
-8.73587,50,105.37929
-4.348836,50,106.176558
-10.716483,50,106.995357
-5.349066,50,107.788367
-3.14903,50,108.605632
-9.195476,50,109.425505
-5.07807,50,110.29129
-7.998084,50,111.313087
-4.066676,50,112.467755
-12.878173,50,113.449171
-12.070042,50,114.40144
-10.730744,50,115.228131
-5.801871,50,116.253828
-10.087114,50,117.493315
-7.640432,50,118.571109
-9.888869,50,119.680683
-7.071334,50,120.471248
-5.55081,50,121.325197
-15.892275,50,122.109924
-11.135643,50,122.889984
-6.20941,50,123.676164
-11.230379,50,124.601398
-7.253538,50,125.448074
-12.457358,50,126.283141
-12.625521,50,127.098013
-6.825193,50,127.949478
-8.904889,50,128.790514
-5.558053,50,129.695237
-7.474671,50,131.069091
-10.421472,50,132.310578
-8.087165,50,133.388378
-9.838155,50,134.558231
-6.514904,50,135.470171
-9.36559,50,136.341187
-9.018209,50,137.163304
-6.525503,50,138.001463
-12.677229,50,138.864732
-10.861668,50,139.736259
-10.640309,50,140.548337
-10.261056,50,141.40977
-5.319507,50,142.235378
-11.641349,50,143.067723
-9.110687,50,143.943082
-6.069716,50,144.753273
-9.598194,50,145.595027
-5.020944,50,146.396632
-11.011545,50,147.190116
-12.232266,50,147.980815
-4.8173,50,149.014633
-4.947903,50,150.02453
-9.311564,50,151.020318
-6.080671,50,151.89233
-10.614119,50,152.691624
-9.583168,50,153.487909
-8.352027,50,154.283797
-11.309852,50,155.085358
-13.578557,50,155.877375
-9.47395,50,156.669063
-9.32612,50,157.477305
-7.943912,50,158.275305
-13.091018,50,159.155509
-8.048699,50,159.947468
-8.578606,50,160.74972
-15.01625,50,161.550138
-10.066783,50,162.411722
-9.629374,50,163.313746
-7.373265,50,164.183628
-10.008812,50,165.022103
-10.272077,50,166.030518
-6.928326,50,167.128689
-9.549149,50,168.166128
-6.433543,50,169.037672
-8.514222,50,169.838643
-6.074089,50,170.634838
-7.353411,50,171.434685
-8.37039,50,172.301441
-12.898267,50,173.151025
-8.801858,50,173.966262
-8.019814,50,174.796943
-6.398823,50,175.616565
-14.356846,50,176.428143
-11.645188,50,177.275545
-12.694134,50,178.095885
-13.088435,50,178.902475
-10.436855,50,179.717976
-10.57826,50,180.52196
-14.70396,50,181.327399
-5.003949,50,182.132619
-6.016807,50,183.081446
-7.266552,50,184.158023
-7.447778,50,185.236086
-10.190422,50,186.190513
-11.383293,50,187.009124
-9.378313,50,187.868743
-12.918713,50,188.713231
-11.021189,50,189.527633
-14.887145,50,190.369741
-8.418348,50,191.209883
-5.811712,50,192.08646
-9.539952,50,192.891883
-9.601197,50,193.693475
-11.752784,50,194.50752
-7.62901,50,195.330781
-5.375271,50,196.184412
-6.659051,50,196.998661
-6.085973,50,197.838381
-15.03847,50,198.680578
-4.757524,50,199.564177
-7.636199,50,200.500783
-9.501035,50,201.56282
-4.79325,50,202.557647
-9.086651,50,203.439063
-11.945781,50,204.234721
-15.040982,50,205.045705
-4.901388,50,205.877085
-7.298081,50,206.679153
-14.538455,50,207.478976
-7.208223,50,208.280288
-12.72803,50,209.094458
-7.485898,50,209.896868
-9.891223,50,210.780245
-8.771918,50,211.623454
-4.886834,50,212.58216
-7.146839,50,213.396551
-10.058409,50,214.260717
-12.366564,50,215.105681
-9.515722,50,215.928489
-12.316347,50,216.775285
-8.480357,50,217.744044
-6.89383,50,218.723922
-11.050696,50,219.692536
-13.10381,50,220.516361
-11.296128,50,221.364679
-16.659502,50,222.184302
-7.443022,50,223.026155
-10.518682,50,223.851976
-13.771435,50,224.674469
-8.445079,50,225.514921
-7.503355,50,226.32909
-5.711309,50,227.137848
-13.186055,50,227.93507
-13.934065,50,228.735594
-16.436289,50,229.539026
-3.695415,50,230.369025
-8.538317,50,231.175288
-17.626244,50,232.039467
-7.269461,50,232.865002
-17.993454,50,233.734899
-17.502143,50,234.728671
-6.074415,50,235.866397
-10.525357,50,236.875966
-5.455214,50,237.785941
-12.984381,50,238.740215
-25.485681,50,239.573717
-14.946067,50,240.396787
-11.184029,50,241.204929
-13.465622,50,242.115445
-13.668429,50,242.996583
-5.69619,50,243.858904
-6.696941,50,244.6905
-14.68286,50,245.500283
-14.798348,50,246.307082
-16.932311,50,247.125585
-19.349348,50,247.93703
-15.294913,50,248.746245
-14.157869,50,249.546642
-15.353319,50,250.350941
-18.491725,50,251.157885
-11.092514,50,252.076482
-11.772789,50,253.058332
-9.833414,50,254.183181
-13.963154,50,255.104518
-11.361342,50,255.925501
-11.512789,50,256.75716
-9.30226,50,257.591253
-11.287765,50,258.506356
-11.995464,50,259.412573
-15.775222,50,260.288547
-8.90878,50,261.118573
-16.799241,50,261.98964
-4.890339,50,262.841573
-11.757993,50,263.662726
-13.017295,50,264.484719
-8.6878,50,265.289793
-10.087624,50,266.094259
-7.983383,50,266.919112
-7.733279,50,267.718888
-16.862216,50,268.523718
-13.054055,50,269.496004
-14.706174,50,270.537411
-14.908222,50,271.505606
-14.944534,50,272.371585
-11.249692,50,273.173887
-10.604522,50,273.982333
-11.480863,50,274.78877
-8.091461,50,275.581219
-9.082485,50,276.390328
-7.75274,50,277.193761
-11.596796,50,278.000641
-9.760684,50,278.82214
-15.32467,50,279.631999
-9.453762,50,280.460561
-8.450813,50,281.301606
-7.733191,50,282.126574
-15.136889,50,283.115175
-13.835888,50,283.991727
-4.832918,50,284.824219
-13.62651,50,285.657233
-5.858991,50,286.696975
-16.098684,50,287.775754
-11.580902,50,288.768092
-11.144987,50,289.665603
-9.728381,50,290.509727
-12.26739,50,291.344813
-4.981144,50,292.219054
-8.001304,50,293.036464
-4.739227,50,293.851778
-9.451943,50,294.649845
-8.854143,50,295.452307
-12.125933,50,296.251782
-8.038597,50,297.054443
-14.038145,50,297.847268
-15.254812,50,298.651075
-12.262446,50,299.492311
-8.349487,50,300.300501
-2.954262,50,301.110512
-17.188391,50,301.924645
-10.273355,50,302.744152
-6.796347,50,303.664438
-7.810762,50,304.656759
-14.342389,50,305.638105
-13.198724,50,306.512431
-6.237817,50,307.338667
-13.14834,50,308.142196
-12.908151,50,308.948482
-5.078324,50,309.742436
-11.352762,50,310.653773
-7.659428,50,311.487542
-14.018438,50,312.392238
-7.849459,50,313.202462
-10.861713,50,314.014827
-8.267069,50,314.829849
-3.471335,50,315.628465
-14.363805,50,316.440781
-4.228438,50,317.247847
-8.445867,50,318.051437
-5.7826,50,318.854157
-9.296834,50,319.68206
-13.165667,50,320.514309
-9.799968,50,321.337799
-7.865408,50,322.14982
-5.887239,50,322.949793
-3.023056,50,323.76818
-14.972055,50,324.582109
-9.654929,50,325.392745
-9.730322,50,326.194979
-7.798403,50,327.00608
-9.301874,50,327.807454
-11.13627,50,328.669759
-8.41175,50,329.493516
-4.544122,50,330.342177
-3.569894,50,331.169759
-8.78063,50,331.978995
-7.89132,50,332.791405
-8.977685,50,333.610297
-11.019743,50,334.437648
-10.414348,50,335.252521
-3.339707,50,336.133389
-15.202373,50,337.123126
-7.480114,50,337.974485
-8.464952,50,338.843435
-6.077917,50,339.679571
-8.65766,50,340.537502
-11.001236,50,341.475897
-12.07996,50,342.282962
-5.143786,50,343.097972
-4.963392,50,343.91284
-11.698326,50,344.715361
-7.780139,50,345.534484
-13.077956,50,346.340575
-9.440632,50,347.157097
-8.369371,50,347.977348
-5.287729,50,348.799829
-11.22224,50,349.63007
-9.508599,50,350.494129
-11.217487,50,351.318869
-4.954911,50,352.124551
-10.091436,50,352.9447
-12.812657,50,353.771816
-10.074485,50,354.650704
-9.861691,50,355.556179
-15.406043,50,356.500217
-7.548599,50,357.342632
-9.358552,50,358.157058
-13.999943,50,358.995473
-14.017451,50,359.806779
-7.72211,50,360.673963
-13.247116,50,361.521099
-6.685498,50,362.387843
-15.664451,50,363.245971
-11.271485,50,364.143144
-8.509789,50,365.105235
-13.372034,50,366.041084
-10.024705,50,366.856813
-6.223185,50,367.682747
-7.457958,50,368.517831
-8.329696,50,369.420509
-8.781143,50,370.308052
-7.329013,50,371.167679
-9.173545,50,372.015798
-11.788127,50,372.83247
-9.715614,50,373.640707
-4.510192,50,374.454145
-6.664161,50,375.268312
-9.086833,50,376.073713
-13.900621,50,376.904438
-8.496724,50,377.739257
-5.524422,50,378.574705
-8.4589,50,379.425157
-12.534573,50,380.267619
-8.248219,50,381.122759
-10.765875,50,382.006877
-15.019338,50,382.902556
-10.219873,50,383.745074
-6.905851,50,384.571898
-8.793484,50,385.41308
-16.194407,50,386.26829
-12.63097,50,387.125142
-9.019739,50,388.031047
-3.998171,50,388.881749
-10.406057,50,389.715535
-4.054701,50,390.536378
-6.178821,50,391.352066
-9.242131,50,392.179971
-11.832822,50,393.042523
-10.55413,50,393.869061
-6.978616,50,394.719802
-7.912499,50,395.564431
-6.313892,50,396.406857
